Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T065_008,SE_T065_009,SE_T065_010,SE_T065_011,SE_T065_012,SE_T065_013,SE_T065_014,SE_T065_015,SE_T065_016,SE_T065_017,SE_T068_001
"3600100","79500US3600100","St. Lawrence County PUMA, New York","St. Lawrence County PUMA, New York","ny","795","00","ACSSF","0000321",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00100",,41361,4191,2377,2901,2020,2490,2587,2356,2016,1951,4199,4122,4639,2410,1346,1027,729,44216
"3600200","79500US3600200","Clinton, Franklin, Essex & Hamilton Counties PUMA; New York","Clinton, New York","ny","795","00","ACSSF","0000322",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00200",,68006,5083,4128,4323,3574,4038,3970,3497,3052,3132,6184,7588,8436,5090,2413,2042,1456,48580
"3600300","79500US3600300","Warren & Washington Counties PUMA, New York","Warren & Washington Counties PUMA, New York","ny","795","00","ACSSF","0000323",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00300",,51551,2687,3151,2804,3188,2731,2856,2305,2444,2009,4978,6399,6948,3536,1943,2204,1368,53049
"3600401","79500US3600401","Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York","Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York","ny","795","00","ACSSF","0000324",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00401",,47673,2762,2948,2798,2761,2500,2685,3047,2662,2043,4244,5553,6666,3300,1672,1197,835,49210
"3600402","79500US3600402","Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York","Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York","ny","795","00","ACSSF","0000325",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00402",,62621,6441,4426,3966,4013,3922,3519,2863,2930,2502,5179,6031,6500,4237,2177,2176,1739,43583
"3600403","79500US3600403","Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York","Otsego, New York","ny","795","00","ACSSF","0000326",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00403",,43520,2802,2584,2543,2626,2302,2483,2298,2140,1942,3747,5343,5773,3257,1474,1312,894,50093
"3600500","79500US3600500","Jefferson & Lewis Counties PUMA, New York","Jefferson & Lewis Counties PUMA, New York","ny","795","00","ACSSF","0000327",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00500",,55195,3849,3398,2837,3739,3570,2880,2948,3395,2904,4950,6605,6303,3868,1790,1415,744,46534
"3600600","79500US3600600","Oswego County PUMA, New York","Oswego County PUMA, New York","ny","795","00","ACSSF","0000328",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00600",,44951,3563,2453,2464,2732,2604,3274,2067,2685,1859,3630,4582,6020,3075,1712,1321,910,46584
"3600701","79500US3600701","Onondaga County (Central)--Syracuse City PUMA, New York","Onondaga County (Central)--Syracuse City PUMA, New York","ny","795","00","ACSSF","0000329",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00701",,54520,10040,5079,4234,4072,3549,3163,2898,2116,1812,3843,4103,4443,2277,1131,976,784,30391
"3600702","79500US3600702","Onondaga County (North) PUMA, New York","Onondaga County (North) PUMA, New York","ny","795","00","ACSSF","0000330",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00702",,49912,1894,1804,1675,2240,2121,2025,2114,2227,1870,4412,6413,7841,5211,3322,2833,1910,65383
"3600703","79500US3600703","Onondaga County (Central)--Syracuse City (Outer) PUMA, New York","Onondaga County (Central)--Syracuse City (Outer) PUMA, New York","ny","795","00","ACSSF","0000331",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00703",,65909,2915,2670,3289,2807,3182,2728,2598,3503,2803,5035,8331,8663,6299,4046,3773,3267,62551
"3600704","79500US3600704","Cayuga & Onondaga (South) Counties PUMA, New York","Cayuga & Onondaga (South) Counties PUMA, New York","ny","795","00","ACSSF","0000332",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00704",,44308,2211,2053,2189,2604,2105,2172,1935,2077,1971,4358,4604,6158,4103,2054,1981,1733,55910
"3600800","79500US3600800","Wayne & Seneca Counties PUMA, New York","Wayne & Seneca Counties PUMA, New York","ny","795","00","ACSSF","0000333",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00800",,49677,2823,2226,2639,3137,2648,3070,2677,2487,2691,4575,5110,7377,3688,2170,1623,736,50918
"3600901","79500US3600901","Monroe County (East) PUMA, New York","Monroe County (East) PUMA, New York","ny","795","00","ACSSF","0000334",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00901",,53252,2363,1919,2423,2384,2770,2522,2493,2066,2160,4909,5391,7692,5182,3525,3186,2267,61632
"3600902","79500US3600902","Monroe County (Central)--Rochester City (East) PUMA, New York","Monroe County (Central)--Rochester City (East) PUMA, New York","ny","795","00","ACSSF","0000335",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00902",,47129,7759,4355,3612,3203,2806,2977,2347,2268,1758,3438,3778,4209,1839,900,923,957,32800
"3600903","79500US3600903","Monroe County (Central)--Rochester City (West) PUMA, New York","Monroe County (Central)--Rochester City (West) PUMA, New York","ny","795","00","ACSSF","0000336",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00903",,39278,7437,3879,3144,3487,2684,2315,2239,2165,1588,2698,2597,2900,1235,316,308,286,28254
"3600904","79500US3600904","Monroe County (Central)--Greece & Gates Towns PUMA, New York","Monroe County (Central)--Greece & Gates Towns PUMA, New York","ny","795","00","ACSSF","0000337",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00904",,50831,2304,2113,2042,2773,2772,3100,2850,2988,2707,4787,5592,6963,4554,2160,2185,941,53821
"3600905","79500US3600905","Monroe County (North & West) PUMA, New York","Monroe County (North & West) PUMA, New York","ny","795","00","ACSSF","0000338",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00905",,39065,1536,1575,1725,1858,1773,1824,1410,1796,1699,3770,4765,5737,4214,2506,1891,986,61861
"3600906","79500US3600906","Monroe County (South) PUMA, New York","Monroe County (South) PUMA, New York","ny","795","00","ACSSF","0000339",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00906",,68215,3326,2109,2387,2700,2766,2824,2304,2474,3044,5088,6397,10093,6579,5401,4956,5767,71502
"3601000","79500US3601000","Genesee & Orleans Counties PUMA, New York","Genesee & Orleans Counties PUMA, New York","ny","795","00","ACSSF","0000340",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01000",,39787,2485,2189,2665,2873,2342,2310,2132,2406,1609,3849,4489,4838,2904,1375,788,533,46623
"3601101","79500US3601101","Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York","Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York","ny","795","00","ACSSF","0000341",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01101",,45830,4441,3351,3085,2908,3620,2492,2522,1912,1835,3795,4430,4840,2950,1574,1338,737,41217
"3601102","79500US3601102","Niagara County (North & East) PUMA, New York","Niagara County (North & East) PUMA, New York","ny","795","00","ACSSF","0000342",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01102",,42718,1976,1874,2400,2293,2240,2671,2305,1840,1811,3662,5225,5574,3788,2300,1837,922,54878
"3601201","79500US3601201","Erie County (Northwest) PUMA, New York","Erie County (Northwest) PUMA, New York","ny","795","00","ACSSF","0000343",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01201",,47459,2384,2336,2463,2626,1992,2278,2287,2745,2166,4638,5243,6988,4384,2359,1821,749,55056
"3601202","79500US3601202","Erie County (North Central) PUMA, New York","Erie County (North Central) PUMA, New York","ny","795","00","ACSSF","0000344",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01202",,48963,3160,2227,2481,1794,2047,1483,1858,1530,1628,4118,4660,6558,5216,3182,3422,3599,65547
"3601203","79500US3601203","Erie County (Northeast) PUMA, New York","Erie County (Northeast) PUMA, New York","ny","795","00","ACSSF","0000345",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01203",,41497,1349,1518,1214,1737,2044,1382,1652,1780,1734,3171,4147,6540,3952,3189,3530,2558,70936
"3601204","79500US3601204","Erie County (Central) PUMA, New York","Erie County (Central) PUMA, New York","ny","795","00","ACSSF","0000346",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01204",,65508,3681,3784,4395,3933,3632,4073,3529,3121,3259,5561,8291,8772,5140,2261,1581,495,48831
"3601205","79500US3601205","Erie County (West Central)--Buffalo City (East) PUMA, New York","Erie County (West Central)--Buffalo City (East) PUMA, New York","ny","795","00","ACSSF","0000347",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01205",,59440,10459,7006,5025,4845,4225,3970,3265,2466,1982,4128,4354,3728,2187,1177,475,148,27982
"3601206","79500US3601206","Erie County (West Central)--Buffalo City (West) PUMA, New York","Erie County (West Central)--Buffalo City (West) PUMA, New York","ny","795","00","ACSSF","0000348",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01206",,50934,9137,3631,3653,3117,2768,3006,2437,2412,1516,3978,4215,5033,2452,1151,1042,1386,35330
"3601207","79500US3601207","Erie County (South) PUMA, New York","Erie County (South) PUMA, New York","ny","795","00","ACSSF","0000349",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01207",,66675,2683,2411,3306,2806,2968,3594,2680,3027,2423,6376,7796,9454,7084,3712,3457,2898,61535
"3601300","79500US3601300","Livingston & Wyoming Counties PUMA, New York","Livingston & Wyoming Counties PUMA, New York","ny","795","00","ACSSF","0000350",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01300",,39578,2483,1841,2182,2137,2471,2173,1915,2193,1730,3745,4599,5644,3401,1503,1106,455,51587
"3601400","79500US3601400","Ontario & Yates Counties PUMA, New York","Ontario & Yates Counties PUMA, New York","ny","795","00","ACSSF","0000351",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01400",,53747,2469,2604,2825,2783,3554,2360,2505,3077,2598,5139,5557,6994,4346,2811,2302,1823,53920
"3601500","79500US3601500","Madison & Cortland Counties PUMA, New York","Madison & Cortland Counties PUMA, New York","ny","795","00","ACSSF","0000352",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01500",,44661,3028,2123,2780,2317,2129,2557,2314,2789,2302,4035,4804,5513,3248,1979,1777,966,49980
"3601600","79500US3601600","Fulton & Montgomery Counties PUMA, New York","Fulton & Montgomery Counties PUMA, New York","ny","795","00","ACSSF","0000353",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01600",,41731,3587,2721,2319,2922,2294,2051,2493,2472,1912,3550,4367,4448,3094,1771,943,787,45018
"3601700","79500US3601700","Schenectady County--Schenectady City PUMA, New York","Schenectady County--Schenectady City PUMA, New York","ny","795","00","ACSSF","0000354",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01700",,57812,3796,3314,3524,2797,2694,2548,2621,2785,2161,4504,6614,8004,5155,2639,2821,1835,55406
"3601801","79500US3601801","Saratoga County (South & Central) PUMA, New York","Saratoga County (South & Central) PUMA, New York","ny","795","00","ACSSF","0000355",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01801",,43915,1455,908,1382,1829,2029,1212,1988,1571,1776,3607,4947,6427,4882,3482,3308,3112,72050
"3601802","79500US3601802","Saratoga County (Outer) PUMA, New York","Saratoga County (Outer) PUMA, New York","ny","795","00","ACSSF","0000356",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01802",,45320,1999,2041,1876,1513,1937,1985,1666,1730,1803,3794,4983,6437,5692,3156,2894,1814,65963
"3601900","79500US3601900","Rensselaer County--Troy City PUMA, New York","Rensselaer County--Troy City PUMA, New York","ny","795","00","ACSSF","0000357",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01900",,63631,4166,3130,2600,3002,2780,2707,2896,2832,2880,4907,7163,8570,6329,4178,3660,1831,59818
"3602001","79500US3602001","Albany County (East Central)--Albany City PUMA, New York","Albany County (East Central)--Albany City PUMA, New York","ny","795","00","ACSSF","0000358",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02001",,43270,4894,3565,2979,2842,2086,2147,2349,1946,1252,3519,4292,5051,2940,1723,1146,539,41801
"3602002","79500US3602002","Albany County (Outside Albany City) PUMA, New York","Albany County (Outside Albany City) PUMA, New York","ny","795","00","ACSSF","0000359",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02002",,78992,3134,2499,2829,3167,3001,3131,2736,4131,3052,6993,8132,11541,8817,5113,6375,4341,68227
"3602100","79500US3602100","Columbia & Greene Counties PUMA, New York","Columbia & Greene Counties PUMA, New York","ny","795","00","ACSSF","0000360",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02100",,43366,2452,2217,2192,2221,2476,2345,2204,2203,1842,3373,4282,5479,4300,2380,1702,1698,54412
"3602201","79500US3602201","Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York","Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York","ny","795","00","ACSSF","0000361",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02201",,51724,5872,4065,3976,3485,2533,3019,2493,2518,2182,3937,4460,5249,3306,1658,1750,1221,40788
"3602202","79500US3602202","Broome (Outer West) & Tioga Counties PUMA, New York","Broome (Outer West) & Tioga Counties PUMA, New York","ny","795","00","ACSSF","0000362",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02202",,42357,1712,1913,2447,2559,2425,1899,1868,1961,2091,3736,5445,5550,3678,2077,1970,1026,55955
"3602203","79500US3602203","Chenango, Delaware & Broome (East) Counties PUMA; New York","Chenango, New York","ny","795","00","ACSSF","0000363",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02203",,43816,3673,3107,2815,3459,2647,2390,2299,2432,1875,3531,4994,5096,2849,1393,846,410,43047
"3602300","79500US3602300","Tompkins County PUMA, New York","Tompkins County PUMA, New York","ny","795","00","ACSSF","0000364",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02300",,38195,4240,2033,1898,1934,2108,1564,1665,1846,1561,2503,3989,4148,2853,1865,1883,2105,50868
"3602401","79500US3602401","Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York","Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York","ny","795","00","ACSSF","0000365",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02401",,42612,3306,2916,2757,2650,2484,2188,2196,1601,1523,3562,4394,4882,3330,1728,1835,1260,48736
"3602402","79500US3602402","Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York","Steuben (North & West), New York","ny","795","00","ACSSF","0000366",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02402",,42132,2951,2738,2571,2548,2992,2391,2183,2289,2320,3724,4972,4699,2711,1551,1029,463,45780
"3602500","79500US3602500","Cattaraugus & Allegany Counties PUMA, New York","Cattaraugus & Allegany Counties PUMA, New York","ny","795","00","ACSSF","0000367",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02500",,50469,3400,3833,3777,3501,3384,3264,3137,2828,2601,4195,5267,5763,2888,1219,817,595,41580
"3602600","79500US3602600","Chautauqua County PUMA, New York","Chautauqua County PUMA, New York","ny","795","00","ACSSF","0000368",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02600",,54416,5109,3757,3854,3396,3704,3137,2761,3213,2882,4934,5451,5764,3225,1257,1343,629,42380
"3602701","79500US3602701","Sullivan & Ulster (West) Counties PUMA, New York","Sullivan & Ulster (West) Counties PUMA, New York","ny","795","00","ACSSF","0000369",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02701",,41794,3279,2576,2492,2160,2017,2111,2146,1630,1959,3700,4703,4956,2687,1960,1879,1539,51166
"3602702","79500US3602702","Ulster County (East) PUMA, New York","Ulster County (East) PUMA, New York","ny","795","00","ACSSF","0000370",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02702",,55652,2984,2599,2903,3338,2658,2814,2271,2217,2272,4344,5945,7603,5064,3353,2971,2316,58603
"3602801","79500US3602801","Dutchess County (North & East) PUMA, New York","Dutchess County (North & East) PUMA, New York","ny","795","00","ACSSF","0000371",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02801",,46145,1538,1465,1658,1937,1631,1677,1703,1541,1760,3828,4732,6600,4897,3701,3745,3732,73689
"3602802","79500US3602802","Dutchess County (Southwest) PUMA, New York","Dutchess County (Southwest) PUMA, New York","ny","795","00","ACSSF","0000372",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02802",,60793,3030,2841,2749,2745,3094,2859,2149,2427,1782,3786,6140,8338,6230,4092,5151,3380,67251
"3602901","79500US3602901","Orange County (Northeast)--Greater Newburgh City PUMA, New York","Orange County (Northeast)--Greater Newburgh City PUMA, New York","ny","795","00","ACSSF","0000373",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02901",,42033,2664,1635,1884,1508,1889,2037,1611,1930,1561,2451,4574,5541,4193,2980,3243,2332,66466
"3602902","79500US3602902","Orange County (Northwest) PUMA, New York","Orange County (Northwest) PUMA, New York","ny","795","00","ACSSF","0000374",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02902",,42330,2581,1876,2348,1830,1594,1851,1517,1588,1569,3118,4251,6014,4280,2830,3227,1856,63360
"3602903","79500US3602903","Orange County (Southeast) PUMA, New York","Orange County (Southeast) PUMA, New York","ny","795","00","ACSSF","0000375",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02903",,40662,1696,1979,1251,1640,1280,1083,1333,1260,1269,2579,4401,4887,4361,3589,3972,4082,77609
"3603001","79500US3603001","Rockland County (North)--New City & Congers PUMA, New York","Rockland County (North)--New City & Congers PUMA, New York","ny","795","00","ACSSF","0000376",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03001",,34303,838,794,1269,1233,623,764,759,1084,732,1636,3269,4995,4356,3186,4316,4449,94450
"3603002","79500US3603002","Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York","Rockland County (South)--Orangetown, New York","ny","795","00","ACSSF","0000377",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03002",,36204,1773,1506,1214,1143,812,1135,1030,1020,1190,1612,2812,4755,3987,2872,4111,5232,90017
"3603003","79500US3603003","Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York","Rockland County (West)--Spring Valley, New York","ny","795","00","ACSSF","0000378",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03003",,27452,1491,1820,1576,1257,1113,1208,1115,1240,896,1979,2389,3425,2608,1386,2089,1860,60185
"3603101","79500US3603101","Putnam County PUMA, New York","Putnam County PUMA, New York","ny","795","00","ACSSF","0000379",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03101",,35198,1078,878,1035,888,1126,1314,748,651,819,2046,3088,4448,4351,3702,4443,4583,96318
