Geo_FIPS,SE_T057_001
36001000100,35900
36001000200,20665
36001000300,35951
36001000401,71921
36001000403,50952
36001000404,
36001000501,26711
36001000502,45526
36001000600,19836
36001000700,30851
36001000800,21394
36001001100,12452
36001001400,34052
36001001500,29823
36001001600,46579
36001001700,70586
36001001801,64737
36001001802,51917
36001001901,69630
36001001902,73875
36001002000,54601
36001002100,29866
36001002200,38621
36001002300,26983
36001002500,19258
36001002600,40783
36001012700,53113
36001012800,33825
36001012900,25776
36001013000,54007
36001013100,52292
36001013200,34678
36001013300,48864
36001013400,45224
36001013503,64500
36001013505,68021
36001013506,69167
36001013507,81591
36001013508,87143
36001013601,73783
36001013602,60761
36001013703,99250
36001013705,69201
36001013706,111250
36001013707,90688
36001013801,66827
36001013802,94167
36001013901,69345
36001013902,78300
36001014001,54127
36001014002,60511
36001014100,86066
36001014201,82418
36001014202,99813
36001014203,95175
36001014301,68482
36001014302,96179
36001014401,57250
36001014402,56466
36001014501,86204
36001014502,68656
36001014503,79375
36001014606,78368
36001014607,89970
36001014608,81875
36001014609,66066
36001014611,89333
36001014612,79643
36001014613,78800
36001014614,91042
36001014615,61858
36001014700,65313
36001014801,61905
36001014802,52143
36001014803,68972
36003940200,
36003950100,43906
36003950300,43724
36003950400,43909
36003950500,47286
36003950600,38285
36003950700,41419
36003950800,47692
36003950900,43520
36003951000,38285
36003951100,41535
36003951200,41742
36003951300,43306
36005000100,
36005000200,69514
36005000400,73036
36005001600,30817
36005001900,33862
36005002000,19150
36005002300,13902
36005002400,
36005002500,14628
36005002701,26094
36005002702,19237
36005002800,48717
36005003100,28047
36005003300,20852
36005003500,24321
36005003700,34000
36005003800,36250
36005003900,25513
36005004001,46809
36005004100,18021
36005004200,27868
36005004300,22359
36005004400,21033
36005004600,31250
36005004800,24683
36005005001,30106
36005005002,32788
36005005100,21423
36005005200,17106
36005005300,15087
36005005400,29583
36005005600,26000
36005005902,35488
36005006000,40586
36005006100,43950
36005006200,25500
36005006300,31830
36005006400,36446
36005006500,21640
36005006700,19079
36005006800,30969
36005006900,17460
36005007000,36852
36005007100,40682
36005007200,42193
36005007300,22254
36005007400,43696
36005007500,21723
36005007600,41754
36005007700,27250
36005007800,32060
36005007900,25244
36005008300,18441
36005008400,54219
36005008500,23882
36005008600,20069
36005008700,28725
36005008900,18794
36005009000,27910
36005009200,30845
36005009300,30783
36005009600,41786
36005009800,52500
36005011000,46417
36005011502,21016
36005011700,19022
36005011800,73508
36005011900,23838
36005012101,35147
36005012102,17028
36005012300,20966
36005012500,26276
36005012701,21589
36005012901,14301
36005013000,68512
36005013100,28594
36005013200,91968
36005013300,22012
36005013500,20171
36005013800,70774
36005014100,30850
36005014300,10114
36005014400,21964
36005014500,20621
36005014701,21106
36005014702,17940
36005014900,23491
36005015100,29031
36005015200,58125
36005015300,21521
36005015500,26698
36005015700,26250
36005015800,55556
36005015900,17281
36005016000,85104
36005016100,16889
36005016200,67778
36005016300,
36005016400,77344
36005016500,25164
36005016600,70081
36005016700,32386
36005016900,33899
36005017100,
36005017300,22699
36005017500,17825
36005017701,26224
36005017702,20554
36005017901,20647
36005017902,27088
36005018101,26694
36005018102,38561
36005018301,34500
36005018302,47167
36005018400,76477
36005018500,23034
36005018900,22875
36005019300,20297
36005019400,51309
36005019500,32051
36005019700,27898
36005019900,26187
36005020000,34955
36005020100,30848
36005020200,39259
36005020400,50815
36005020501,26316
36005020502,25000
36005020601,53125
36005020900,29508
36005021001,48010
36005021002,47353
36005021100,24066
36005021200,54293
36005021301,22734
36005021302,26152
36005021501,30864
36005021502,19421
36005021601,22818
36005021602,44420
36005021700,20747
36005021800,33302
36005021900,30952
36005022000,13350
36005022101,27058
36005022102,18241
36005022200,45000
36005022300,31604
36005022401,40184
36005022403,34818
36005022404,41458
36005022500,32043
36005022701,32079
36005022702,42955
36005022703,42500
36005022800,45000
36005022901,23494
36005022902,24750
36005023000,51411
36005023100,28987
36005023200,48125
36005023301,27691
36005023302,18569
36005023501,33869
36005023502,23209
36005023600,39306
36005023702,14231
36005023703,28641
36005023704,19076
36005023800,56283
36005023900,21464
36005024000,34544
36005024100,20659
36005024300,21328
36005024400,67471
36005024501,25922
36005024502,26014
36005024600,69013
36005024700,39919
36005024800,66918
36005024900,
36005025000,52134
36005025100,31541
36005025200,49944
36005025300,30908
36005025400,42177
36005025500,20000
36005025600,42337
36005025700,30485
36005026100,64810
36005026300,28976
36005026400,73720
36005026500,37719
36005026601,51938
36005026602,46174
36005026701,32599
36005026702,32525
36005026900,31336
36005027300,45370
36005027401,69138
36005027402,68511
36005027600,57222
36005027700,30750
36005027900,47227
36005028100,57604
36005028300,45485
36005028400,113750
36005028500,49879
36005028600,51538
36005028700,46875
36005028800,57460
36005028900,55281
36005029301,101700
36005029302,91180
36005029500,94457
36005029600,45357
36005029700,90909
36005030000,48485
36005030100,81685
36005030200,51384
36005030701,92361
36005030900,82169
36005031000,113914
36005031200,62596
36005031400,80417
36005031600,59886
36005031800,55000
36005031900,
36005032300,76217
36005032400,28139
36005032600,73158
36005032800,31644
36005033000,39735
36005033201,45686
36005033202,39500
36005033400,45270
36005033500,85972
36005033600,31594
36005033700,77500
36005033800,43059
36005034000,37864
36005034200,42863
36005034300,68993
36005034400,88313
36005034500,60568
36005034800,36294
36005035000,61500
36005035100,70625
36005035600,86199
36005035800,61407
36005035900,20750
36005036000,83816
36005036100,16041
36005036300,21350
36005036400,45815
36005036501,21875
36005036502,16974
36005036700,21017
36005036800,62171
36005036901,13594
36005036902,30850
36005037000,63789
36005037100,19467
36005037200,51571
36005037300,29606
36005037400,22500
36005037504,20313
36005037600,49566
36005037800,42326
36005037900,22917
36005038000,33077
36005038100,26038
36005038200,41990
36005038301,24412
36005038302,20108
36005038500,19857
36005038600,49854
36005038700,24286
36005038800,47619
36005038900,26171
36005039000,35037
36005039100,24193
36005039200,32386
36005039300,16949
36005039400,39157
36005039500,26250
36005039600,28103
36005039700,19015
36005039800,58892
36005039901,26509
36005039902,27375
36005040100,36786
36005040302,20492
36005040303,35889
36005040304,37000
36005040400,40793
36005040501,29293
36005040502,19358
36005040600,40039
36005040701,29479
36005040702,27290
36005040800,31687
36005040900,49614
36005041100,31371
36005041300,33033
36005041400,52577
36005041500,35086
36005041800,38165
36005041900,36344
36005042000,29886
36005042100,50816
36005042200,51312
36005042300,33700
36005042400,50625
36005042500,32382
36005042600,65909
36005042800,66971
36005042901,38100
36005042902,28149
36005043000,50100
36005043100,31841
36005043400,37601
36005043500,
36005043600,53750
36005044200,40068
36005044400,61526
36005044800,84875
36005044901,63750
36005044902,71154
36005045101,69861
36005045102,72569
36005045600,65500
36005045800,20691
36005046000,39448
36005046201,43495
36005046202,32461
36005048400,68370
36005050400,
36005051600,70027
36007000100,30820
36007000200,25042
36007000300,30613
36007000400,36694
36007000500,21713
36007000600,31328
36007000700,41713
36007000900,29900
36007001100,15857
36007001200,11682
36007001300,15361
36007001400,29268
36007001500,53886
36007001600,53896
36007001700,32434
36007001800,32026
36007010200,58254
36007011901,52045
36007011902,51042
36007011903,53438
36007012000,45446
36007012101,53726
36007012102,71441
36007012103,54844
36007012201,60263
36007012202,46444
36007012300,47899
36007012400,42060
36007012500,51370
36007012600,51894
36007012701,53512
36007012702,70500
36007012800,51406
36007012900,46618
36007013000,65714
36007013100,41270
36007013201,48542
36007013202,52212
36007013301,51304
36007013303,64952
36007013304,73571
36007013400,36406
36007013500,22699
36007013600,32500
36007013700,33511
36007013800,36783
36007013900,31563
36007014000,22230
36007014100,43040
36007014200,52195
36007014301,64858
36007014302,55339
36007014400,58984
36007014500,61136
36007014600,67168
36009940000,18750
36009940200,
36009940300,30483
36009960100,42520
36009960200,34769
36009960300,49468
36009960400,47471
36009960500,43192
36009960600,44926
36009960702,44450
36009960800,39279
36009961000,44191
36009961100,53400
36009961200,51622
36009961300,47007
36009961400,44211
36009961500,50932
36009961600,38638
36009961700,35193
36009961800,48778
36009962200,43875
36011040100,45597
36011040200,59069
36011040300,48092
36011040400,54564
36011040500,60194
36011040600,67961
36011040700,76468
36011040800,58750
36011040900,55036
36011041000,62010
36011041100,70968
36011041200,56858
36011041300,36936
36011041400,37739
36011041500,46875
36011041600,61681
36011041700,41737
36011041800,36096
36011042100,24486
36011990200,
36013030100,26739
36013030200,30844
36013030300,25208
36013030400,36734
36013030500,13693
36013030600,33912
36013030700,42794
36013030800,43627
36013035100,45663
36013035300,58023
36013035400,26237
36013035500,43415
36013035600,41012
36013035700,42250
36013035800,37826
36013035901,51234
36013035902,22750
36013036000,50033
36013036100,48725
36013036300,39599
36013036401,50682
36013036402,50921
36013036500,40536
36013036600,41923
36013036700,45326
36013036800,48884
36013036901,49671
36013036902,56019
36013037000,53240
36013037100,49301
36013037200,51683
36013037300,45735
36013037400,47147
36013037500,48750
36013037600,50122
36013990000,
36015000100,26076
36015000200,32411
36015000300,
36015000400,48320
36015000500,48594
36015000600,22134
36015000700,15700
36015000900,42358
36015001000,21373
36015001100,38736
36015010100,51612
36015010200,61306
36015010300,62167
36015010400,56198
36015010500,42414
36015010600,52569
36015010700,79635
36015010800,30789
36015010900,79592
36015011000,54412
36015011100,40375
36015011200,56744
36017970100,44476
36017970200,45822
36017970300,41439
36017970400,26596
36017970500,41623
36017970601,45577
36017970602,50757
36017970700,46111
36017970801,49813
36017970802,50063
36017970900,40451
36017971000,53438
36019100100,51865
36019100200,58750
36019100300,45113
36019100400,44904
36019100600,58955
36019100700,57277
36019100800,55625
36019100900,35000
36019101000,71678
36019101100,
36019101300,22708
36019101400,40625
36019101600,46563
36019101700,64228
36019101800,55274
36019101900,66111
36019102000,44724
36019102100,54191
36019102200,27520
36021000100,53929
36021000200,74167
36021000300,78885
36021000401,72500
36021000402,79655
36021000500,64358
36021000600,54406
36021000700,60250
36021000800,72500
36021000900,83750
36021001000,51329
36021001100,44401
36021001200,31184
36021001300,41152
36021001400,52429
36021001500,57895
36021001600,66062
36021001700,62045
36021001800,65230
36021001900,63276
36021002000,60917
36023970100,51563
36023970200,56808
36023970300,55179
36023970400,58199
36023970500,43741
36023970600,26194
36023970700,44668
36023970800,31875
36023970900,33750
36023971000,54179
36023971100,47443
36023971200,57007
36025970100,47956
36025970200,53214
36025970300,58704
36025970400,40672
36025970500,44973
36025970600,37063
36025970700,46118
36025970800,45208
36025970900,
36025971000,47500
36025971100,44926
36025971200,47833
36025971300,43548
36025971400,43377
36027010000,56222
36027020003,89024
36027020004,105500
36027020005,98851
36027030000,92117
36027040001,64347
36027040003,75811
36027050102,77228
36027050103,110471
36027050104,134758
36027050203,79441
36027050204,96220
36027050205,101629
36027060100,91866
36027060201,64375
36027060202,69813
36027060301,95243
36027060302,99583
36027060400,54816
36027070101,72527
36027070102,76270
36027070201,61534
36027070301,74738
36027070401,60179
36027080103,101359
36027080104,89808
36027080201,109010
36027080202,99710
36027090000,65529
36027100000,63438
36027110003,100671
36027110004,79236
36027110005,58780
36027120000,64673
36027130003,65873
36027130004,104605
36027130005,82230
36027140101,64286
36027140200,58844
36027140300,50302
36027140400,109112
36027140500,62743
36027140602,78424
36027140700,85647
36027140801,70000
36027150003,51688
36027150004,94961
36027150005,75708
36027150006,50667
36027160003,65288
36027160004,73098
36027160005,58125
36027170000,67538
36027180001,87841
36027190101,83043
36027190102,72938
36027190203,85417
36027190204,100600
36027190301,75610
36027190401,75208
36027190402,73750
36027200001,71222
36027200002,57450
36027210101,49318
36027210201,59706
36027210301,66852
36027220100,22448
36027220201,31533
36027220300,27379
36027220700,36630
36027220801,37887
36027220901,51471
36027221001,86250
36027221100,38953
36027300000,47148
36027410000,66250
36027610000,
36027640001,
36027640002,22188
36029000110,37250
36029000200,31625
36029000500,33086
36029000600,50017
36029000700,59635
36029000800,48293
36029000900,44288
36029001000,37746
36029001100,30227
36029001402,21520
36029001500,27500
36029001600,13327
36029001700,27115
36029001900,39692
36029002300,23573
36029002400,31465
36029002502,26741
36029002702,14221
36029002800,21997
36029002900,21786
36029003000,19915
36029003100,17296
36029003301,26835
36029003302,21424
36029003400,28191
36029003500,14898
36029003600,18092
36029003700,19827
36029003800,26067
36029003901,27602
36029004001,22607
36029004100,29792
36029004200,26006
36029004300,32963
36029004401,29489
36029004402,15282
36029004500,61223
36029004601,43633
36029004602,
36029004700,32087
36029004800,68254
36029004900,45031
36029005000,34694
36029005100,38479
36029005201,46147
36029005202,34292
36029005300,33529
36029005400,56964
36029005500,21977
36029005600,29949
36029005700,24560
36029005801,37587
36029005802,24460
36029005900,20227
36029006100,26136
36029006201,
36029006301,54205
36029006302,69224
36029006501,45584
36029006601,31688
36029006602,34750
36029006701,41607
36029006702,32988
36029006800,41250
36029006901,19311
36029006902,19955
36029007000,20337
36029007101,16882
36029007102,13925
36029007202,43015
36029007302,80957
36029007303,63169
36029007304,95388
36029007600,54884
36029007700,41262
36029007800,51397
36029007901,66020
36029007902,54668
36029007903,61354
36029007904,59875
36029007905,58694
36029008001,56612
36029008002,57378
36029008003,53976
36029008101,51639
36029008102,66103
36029008201,51081
36029008202,46226
36029008300,23415
36029008400,41534
36029008500,48724
36029008600,55570
36029008700,49351
36029008800,45804
36029008900,65871
36029009004,75781
36029009006,80989
36029009007,136413
36029009008,63661
36029009009,82857
36029009010,96232
36029009104,92125
36029009106,70170
36029009107,59190
36029009109,60938
36029009110,
36029009112,25532
36029009113,94792
36029009114,80718
36029009115,31146
36029009116,49583
36029009200,45671
36029009301,41016
36029009302,53450
36029009401,62328
36029009402,76156
36029009501,97892
36029009502,67656
36029009600,53789
36029009701,51146
36029009702,48534
36029009800,47650
36029009900,40196
36029010001,51979
36029010002,40143
36029010003,45339
36029010101,59343
36029010102,31343
36029010103,46516
36029010201,67162
36029010202,52857
36029010300,45208
36029010400,34942
36029010500,42887
36029010600,47897
36029010700,48125
36029010803,46750
36029010804,52819
36029010805,53125
36029010807,50762
36029010808,53466
36029010809,69308
36029010901,49432
36029010902,33004
36029011000,44231
36029011100,48295
36029011200,54575
36029011300,56050
36029011400,47572
36029011500,45039
36029011600,46332
36029011700,50625
36029011800,47938
36029012001,58108
36029012002,68158
36029012003,67830
36029012300,37788
36029012400,31174
36029012501,43317
36029012502,45119
36029012800,40194
36029012901,52051
36029012902,53458
36029013001,48958
36029013002,53447
36029013101,58988
36029013102,88770
36029013201,58433
36029013202,91538
36029013300,62687
36029013400,69095
36029013501,63417
36029013502,133750
36029013600,75781
36029013701,56949
36029013702,80982
36029013800,78108
36029013900,66786
36029014000,65250
36029014101,72909
36029014102,76491
36029014204,55605
36029014206,121212
36029014207,67095
36029014208,89033
36029014209,82310
36029014300,59801
36029014400,44063
36029014501,56029
36029014502,35600
36029014601,66875
36029014603,98393
36029014604,108164
36029014701,79814
36029014702,75221
36029014801,48398
36029014803,55875
36029014901,49435
36029014903,63091
36029014904,
36029015001,77254
36029015002,60719
36029015003,60063
36029015101,77477
36029015102,60913
36029015201,89324
36029015202,65080
36029015301,62785
36029015302,57632
36029015401,58456
