Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),difference
1/1/2014,6559,6323722,9.254,"11,243,581",95971,29,268,10,0
1/2/2014,9334,6333056,11.736,"11,255,317",96000,42,66,3,29
1/3/2014,1288,6334344,1.855,"11,257,172",96042,23,1,1,42
1/4/2014,2494,6336838,3.706,"11,260,878",96065,19,14,1,23
1/5/2014,2937,6339775,3.72,"11,264,598",96084,18,17,4,19
1/6/2014,10481,6350256,13.016,"11,277,613",96102,22,30,7,18
1/7/2014,7144,6357400,8.2,"11,285,814",96124,28,5,4,22
1/8/2014,10162,6367562,11.768,"11,297,582",96152,19,28,4,28
1/9/2014,14571,6382133,18.401,"11,315,983",96171,18,74,10,19
1/10/2014,10685,6392818,13.433,"11,329,416",96189,36,49,5,18
1/11/2014,8333,6401151,10.735,"11,340,151",96225,22,101,16,36
1/12/2014,13549,6414700,19.141,"11,359,291",96247,29,350,22,22
1/13/2014,22377,6437077,30.829,"11,390,121",96276,72,224,31,29
1/14/2014,10849,6447926,13.271,"11,403,392",96348,43,45,4,72
1/15/2014,23500,6471426,32.303,"11,435,695",96391,62,241,30,43
1/16/2014,21528,6492954,28.807,"11,464,502",96453,56,208,37,62
1/17/2014,21840,6514794,30.773,"11,495,275",96509,67,282,34,56
1/18/2014,10222,6525016,14.596,"11,509,870",96576,40,176,15,67
1/19/2014,9768,6534784,13.591,"11,523,461",96616,38,194,13,40
1/20/2014,14581,6549365,20.103,"11,543,564",96654,47,133,11,38
1/21/2014,4171,6553536,5.429,"11,548,993",96701,32,5,1,47
1/22/2014,2762,6556298,4.061,"11,553,054",96733,8,4,3,32
1/23/2014,5743,6562041,8.336,"11,561,390",96741,16,9,1,8
1/24/2014,6901,6568942,9.375,"11,570,765",96757,13,15,6,16
1/25/2014,4716,6573658,6.004,"11,576,770",96770,14,34,0,13
1/26/2014,5462,6579120,6.691,"11,583,461",96784,20,37,6,14
1/27/2014,14304,6593424,18.127,"11,601,588",96804,26,55,18,20
1/28/2014,11066,6604490,13.722,"11,615,310",96830,22,18,7,26
1/29/2014,10838,6615328,13.394,"11,628,704",96852,33,21,6,22
1/30/2014,13198,6628526,16.914,"11,645,618",96885,27,42,7,33
1/31/2014,15886,6644412,21.541,"11,667,159",96912,23,130,10,27
2/1/2014,13797,6658209,20.707,"11,687,866",96935,23,349,29,23
2/2/2014,15009,6673218,22.915,"11,710,781",96958,40,449,10,23
2/3/2014,2839,6676057,3.635,"11,714,416",96998,27,4,2,40
2/4/2014,9551,6685608,12.708,"11,727,124",97025,21,37,2,27
2/5/2014,3076,6688684,4.603,"11,731,727",97046,15,8,1,21
2/6/2014,8227,6696911,12.641,"11,744,368",97061,21,25,9,15
2/7/2014,9473,6706384,14.206,"11,758,574",97082,12,36,5,21
2/8/2014,6640,6713024,9.563,"11,768,137",97094,15,71,1,12
2/9/2014,5527,6718551,7.806,"11,775,942",97109,19,47,6,15
2/10/2014,7643,6726194,10.867,"11,786,809",97128,26,16,3,19
2/11/2014,9258,6735452,12.57,"11,799,379",97154,20,22,4,26
2/12/2014,9531,6744983,12.691,"11,812,070",97174,10,24,3,20
2/13/2014,978,6745961,1.725,"11,813,795",97184,7,3,1,10
2/14/2014,4029,6749990,6.586,"11,820,381",97191,14,16,8,7
2/15/2014,2512,6752502,3.834,"11,824,215",97205,16,23,2,14
2/16/2014,3362,6755864,5.063,"11,829,278",97221,12,34,2,16
2/17/2014,5433,6761297,8.226,"11,837,504",97233,10,40,10,12
2/18/2014,5727,6767024,8.393,"11,845,896",97243,19,19,2,10
2/19/2014,9485,6776509,14.086,"11,859,983",97262,18,45,6,19
2/20/2014,12971,6789480,18.707,"11,878,690",97280,27,103,11,18
2/21/2014,9545,6799025,12.423,"11,891,113",97307,34,59,8,27
2/22/2014,14261,6813286,25.945,"11,917,058",97341,38,730,31,34
2/23/2014,14567,6827853,25.298,"11,942,356",97379,56,666,35,38
2/24/2014,14119,6841972,19.238,"11,961,594",97435,76,79,10,56
2/25/2014,14003,6855975,17.699,"11,979,293",97511,45,50,14,76
2/26/2014,12168,6868143,15.039,"11,994,332",97556,28,35,7,45
2/27/2014,13138,6881281,16.042,"12,010,374",97584,28,54,10,28
2/28/2014,10483,6891764,13.017,"12,023,391",97612,38,46,12,28
3/1/2014,9944,6901708,14.364,"12,037,756",97650,37,255,11,38
3/2/2014,9017,6910725,12.288,"12,050,044",97687,40,196,12,37
3/3/2014,8618,6919343,12.02,"12,062,064",97727,41,44,3,40
3/4/2014,11494,6930837,14.473,"12,076,537",97768,39,36,11,41
3/5/2014,14934,6945771,19.147,"12,095,684",97807,62,90,13,39
3/6/2014,13758,6959529,17.12,"12,112,804",97869,38,50,7,62
3/7/2014,14736,6974265,19.809,"12,132,613",97907,63,108,10,38
3/8/2014,18119,6992384,34.814,"12,167,427",97970,82,1211,46,63
3/9/2014,13300,7005684,20.468,"12,187,894",98052,94,496,32,82
3/10/2014,18844,7024528,25.777,"12,213,671",98146,115,206,30,94
3/11/2014,26436,7050964,41.688,"12,255,359",98261,187,574,66,115
3/12/2014,16273,7067237,21.803,"12,277,162",98448,124,153,21,187
3/13/2014,12164,7079401,15.663,"12,292,825",98572,67,55,7,124
3/14/2014,17745,7097146,23.539,"12,316,364",98639,77,209,14,67
3/15/2014,19664,7116810,35.302,"12,351,665",98716,111,1316,54,77
3/16/2014,10740,7127550,16.054,"12,367,720",98827,77,274,31,111
3/17/2014,13681,7141231,17.722,"12,385,442",98904,91,106,19,77
3/18/2014,18046,7159277,24.985,"12,410,427",98995,87,181,30,91
3/19/2014,14387,7173664,19.079,"12,429,506",99082,78,87,19,87
3/20/2014,21299,7194963,31.018,"12,460,523",99160,120,292,36,78
3/21/2014,22266,7217229,33.189,"12,493,712",99280,149,386,26,120
3/22/2014,21671,7238900,42.206,"12,535,919",99429,134,1525,55,149
3/23/2014,12846,7251746,19.105,"12,555,024",99563,115,451,19,134
3/24/2014,14729,7266475,18.838,"12,573,862",99678,84,105,20,115
3/25/2014,17388,7283863,22.135,"12,595,997",99762,79,108,19,84
3/26/2014,15538,7299401,19.368,"12,615,365",99841,72,91,16,79
3/27/2014,18166,7317567,25.302,"12,640,668",99913,78,164,17,72
3/28/2014,20025,7337592,29.858,"12,670,526",99991,81,255,29,78
3/29/2014,4870,7342462,6.546,"12,677,072",100072,55,142,0,81
3/30/2014,8645,7351107,13.365,"12,690,437",100127,93,209,15,55
3/31/2014,18686,7369793,26.78,"12,717,217",100220,117,276,47,93
4/1/2014,26163,7395956,40.978,"12,758,196",100337,174,475,67,117
4/2/2014,24299,7420255,35.54,"12,793,736",100511,118,237,33,174
4/3/2014,28379,7448634,44.649,"12,838,385",100629,171,596,63,118
4/4/2014,13593,7462227,17.644,"12,856,030",100800,92,103,10,171
4/5/2014,20333,7482560,36.797,"12,892,827",100892,127,1221,42,92
4/6/2014,22643,7505203,45.575,"12,938,402",101019,165,1641,62,127
4/7/2014,15869,7521072,21.9,"12,960,303",101184,131,159,36,165
4/8/2014,23636,7544708,34.85,"12,995,153",101315,126,369,44,131
4/9/2014,29194,7573902,45.619,"13,040,772",101441,201,447,57,126
4/10/2014,29722,7603624,46.023,"13,086,794",101642,172,525,65,201
4/11/2014,29283,7632907,49.269,"13,136,064",101814,140,632,83,172
4/12/2014,29773,7662680,63.649,"13,199,713",101954,175,2710,89,140
4/13/2014,29521,7692201,65.746,"13,265,459",102129,228,2411,109,175
4/14/2014,31732,7723933,57.307,"13,322,766",102357,266,993,114,228
4/15/2014,11370,7735303,14.639,"13,337,404",102623,128,73,19,266
4/16/2014,21713,7757016,31.427,"13,368,832",102751,132,279,50,128
4/17/2014,24190,7781206,36.642,"13,405,474",102883,113,470,53,132
4/18/2014,22409,7803615,33.846,"13,439,319",102996,98,628,60,113
4/19/2014,26541,7830156,59.461,"13,498,781",103094,118,2666,99,98
4/20/2014,20122,7850278,40.814,"13,539,595",103212,154,1639,84,118
4/21/2014,29618,7879896,50.57,"13,590,165",103366,276,839,105,154
4/22/2014,29580,7909476,45.813,"13,635,978",103642,169,560,58,276
4/23/2014,29341,7938817,44.266,"13,680,243",103811,173,358,68,169
4/24/2014,30515,7969332,48.329,"13,728,573",103984,160,646,95,173
4/25/2014,30299,7999631,49.915,"13,778,488",104144,126,767,56,160
4/26/2014,21785,8021416,42.759,"13,821,247",104270,118,1720,57,126
4/27/2014,24093,8045509,46.188,"13,867,436",104388,156,1616,84,118
4/28/2014,31279,8076788,51.168,"13,918,604",104544,176,744,94,156
4/29/2014,20003,8096791,26.84,"13,945,444",104720,120,160,24,176
4/30/2014,3093,8099884,3.572,"13,949,016",104840,63,15,0,120
5/1/2014,29448,8129332,51.32,"14,000,335",104903,138,780,94,63
5/2/2014,35590,8164922,60.514,"14,060,849",105041,192,1192,144,138
5/3/2014,28254,8193176,61.95,"14,122,799",105233,152,2440,150,192
5/4/2014,23450,8216626,43.926,"14,166,724",105385,159,1479,77,152
5/5/2014,33706,8250332,58.904,"14,225,628",105544,219,842,127,159
5/6/2014,35977,8286309,62.455,"14,288,083",105763,197,836,100,219
5/7/2014,36210,8322519,58.617,"14,346,700",105960,195,799,91,197
5/8/2014,19518,8342037,28.9,"14,375,600",106155,105,303,20,195
5/9/2014,24990,8367027,37.118,"14,412,718",106260,111,537,59,105
5/10/2014,24179,8391206,44.945,"14,457,663",106371,133,1617,74,111
5/11/2014,31551,8422757,71.587,"14,529,250",106504,161,2768,145,133
5/12/2014,35209,8457966,61.465,"14,590,714",106665,246,935,124,161
5/13/2014,36281,8494247,59.204,"14,649,918",106911,204,737,125,246
5/14/2014,33087,8527334,52.063,"14,701,982",107115,164,586,75,204
5/15/2014,28847,8556181,45.347,"14,747,329",107279,129,566,76,164
5/16/2014,19561,8575742,27.664,"14,774,993",107408,114,218,22,129
5/17/2014,33141,8608883,71.372,"14,846,365",107522,130,2968,141,114
5/18/2014,30026,8638909,61.977,"14,908,341",107652,154,2476,124,130
5/19/2014,34763,8673672,56.666,"14,965,008",107806,226,914,124,154
5/20/2014,38928,8712600,66.578,"15,031,586",108032,194,1145,141,226
5/21/2014,37493,8750093,61.069,"15,092,655",108226,146,897,115,194
5/22/2014,26753,8776846,39.65,"15,132,305",108372,121,470,40,146
5/23/2014,26895,8803741,42.128,"15,174,433",108493,108,793,84,121
5/24/2014,18503,8822244,35.805,"15,210,238",108601,109,1532,105,108
5/25/2014,28266,8850510,68.798,"15,279,036",108710,115,3535,144,109
5/26/2014,29819,8880329,70.712,"15,349,748",108825,169,3095,143,115
5/27/2014,36165,8916494,63.451,"15,413,199",108994,253,1196,162,169
5/28/2014,32666,8949160,49.67,"15,462,869",109247,164,533,79,253
5/29/2014,37184,8986344,60.222,"15,523,091",109411,144,930,108,164
5/30/2014,37875,9024219,65.24,"15,588,331",109555,167,1191,118,144
5/31/2014,30659,9054878,61.976,"15,650,307",109722,139,2305,129,167
6/1/2014,34597,9089475,75.594,"15,725,901",109861,212,2912,168,139
6/2/2014,38143,9127618,68.186,"15,794,087",110073,277,1099,150,212
6/3/2014,32504,9160122,52.767,"15,846,854",110350,238,702,119,277
6/4/2014,39747,9199869,66.953,"15,913,807",110588,170,950,135,238
6/5/2014,27165,9227034,44.714,"15,958,521",110758,146,692,81,170
6/6/2014,41291,9268325,72.887,"16,031,408",110904,164,1668,128,146
6/7/2014,34417,9302742,74.549,"16,105,957",111068,116,2888,165,164
6/8/2014,33432,9336174,73.196,"16,179,153",111184,162,2704,117,116
6/9/2014,20545,9356719,32.252,"16,211,405",111346,127,394,43,162
6/10/2014,36959,9393678,59.916,"16,271,321",111473,167,783,117,127
6/11/2014,33809,9427487,55.193,"16,326,514",111640,121,691,105,167
6/12/2014,32186,9459673,49.272,"16,375,786",111761,134,644,78,121
6/13/2014,20236,9479909,31.146,"16,406,932",111895,106,565,40,134
6/14/2014,31432,9511341,63.83,"16,470,762",112001,106,2442,129,106
6/15/2014,31029,9542370,65.14,"16,535,902",112107,142,2397,136,106
6/16/2014,38568,9580938,66.964,"16,602,866",112249,200,1080,153,142
6/17/2014,38963,9619901,66.789,"16,669,655",112449,173,978,124,200
6/18/2014,38984,9658885,64.305,"16,733,960",112622,161,905,139,173
6/19/2014,35327,9694212,58.66,"16,792,620",112783,113,812,92,161
6/20/2014,38827,9733039,78.661,"16,871,281",112896,164,1439,117,113
6/21/2014,33325,9766364,69.714,"16,940,995",113060,94,2951,149,164
6/22/2014,32300,9798664,65.036,"17,006,031",113154,135,2532,107,94
6/23/2014,36342,9835006,61.529,"17,067,560",113289,193,1024,167,135
6/24/2014,39886,9874892,66.604,"17,134,164",113482,173,939,136,193
6/25/2014,38035,9912927,60.763,"17,194,927",113655,129,868,137,173
6/26/2014,38610,9951537,63.768,"17,258,695",113784,121,1051,109,129
6/27/2014,39697,9991234,70.902,"17,329,597",113905,115,1573,147,121
6/28/2014,31684,10022918,65.075,"17,394,672",114020,122,2679,125,115
6/29/2014,30784,10053702,64.706,"17,459,378",114142,118,2450,125,122
6/30/2014,36854,10090556,61.917,"17,521,295",114260,174,1044,120,118
7/1/2014,37970,10128526,61.17,"17,582,465",114434,126,955,120,174
7/2/2014,28765,10157291,44.192,"17,626,657",114560,160,688,92,126
7/3/2014,30078,10187369,48.573,"17,675,230",114720,124,819,88,160
7/4/2014,14850,10202219,27.905,"17,703,135",114844,48,1196,77,124
7/5/2014,25116,10227335,55.725,"17,758,860",114892,86,2566,127,48
7/6/2014,26615,10253950,65.358,"17,824,218",114978,114,2392,111,86
7/7/2014,35075,10289025,59.834,"17,884,052",115092,195,905,160,114
7/8/2014,35734,10324759,57.828,"17,941,880",115287,171,740,120,195
7/9/2014,37588,10362347,60.912,"18,002,792",115446,159,879,127,159
7/10/2014,39779,10402126,66.239,"18,069,031",115605,159,1052,115,159
7/11/2014,38416,10440542,65.516,"18,134,547",115711,106,1339,93,106
7/12/2014,31413,10471955,63.664,"18,198,211",115810,99,2697,115,99
7/13/2014,27089,10499044,50.105,"18,248,316",115914,104,1713,91,104
7/14/2014,28173,10527217,43.222,"18,291,538",116026,112,637,93,112
7/15/2014,24993,10552210,37.092,"18,328,630",116142,116,410,58,116
7/16/2014,38610,10590820,63.616,"18,392,246",116245,103,959,116,103
7/17/2014,41996,10632816,70.061,"18,462,307",116361,116,1114,110,116
