URL,NAME,LINE
http://www.mta.info/nyct/subway/index.html,W 4th St - Washington Sq (Lower),B-D-F-M
http://www.mta.info/nyct/subway/index.html,Buhre Ave,6-6 Express
http://www.mta.info/nyct/subway/index.html,51st St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,86th St,1-2
http://www.mta.info/nyct/subway/index.html,Brooklyn Bridge - City Hall,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,33rd St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Lexington Ave - 59th St,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,233rd St,2-5
http://www.mta.info/nyct/subway/index.html,66th St - Lincoln Ctr,1-2
http://www.mta.info/nyct/subway/index.html,Hunts Point Ave,6-6 Express
http://www.mta.info/nyct/subway/index.html,Canal St,1-2
http://www.mta.info/nyct/subway/index.html,Middletown Rd,6-6 Express
http://www.mta.info/nyct/subway/index.html,23rd St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,45th Rd - Court House Sq,7-7 Express
http://www.mta.info/nyct/subway/index.html,Astor Pl,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,59th St - Columbus Circle,1-2
http://www.mta.info/nyct/subway/index.html,Hunters Point Ave,7-7 Express
http://www.mta.info/nyct/subway/index.html,96th St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Mets - Willets Point,7-7 Express
http://www.mta.info/nyct/subway/index.html,23rd St,1-2
http://www.mta.info/nyct/subway/index.html,Houston St,1-2
http://www.mta.info/nyct/subway/index.html,3rd Ave - 138th St,6-6 Express
http://www.mta.info/nyct/subway/index.html,Zerega Ave,6-6 Express
http://www.mta.info/nyct/subway/index.html,104th St,A-S
http://www.mta.info/nyct/subway/index.html,Bleecker St (Downtown),4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Castle Hill Ave,6-6 Express
http://www.mta.info/nyct/subway/index.html,Broad Channel,A-S
http://www.mta.info/nyct/subway/index.html,Ocean Pkwy,Q
http://www.mta.info/nyct/subway/index.html,50th St,1-2
http://www.mta.info/nyct/subway/index.html,Vernon Blvd - Jackson Ave,7-7 Express
http://www.mta.info/nyct/subway/index.html,68th St - Hunter College,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Queensboro Plz,7-7 Express-N-W
http://www.mta.info/nyct/subway/index.html,Rockaway Blvd,A-S
http://www.mta.info/nyct/subway/index.html,Union Sq - 14th St,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,Junction Blvd,7-7 Express
http://www.mta.info/nyct/subway/index.html,Classon Ave,G
