stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,883,347,603858
217,1735,819,1401017
248,1100,156,223598
212,3757,623,991452
474,4069,562,779600
445,4182,387,468156
353,634,75,91566
264,3327,414,625257
218,553,0,0
137,2185,428,625439
499,7587,1492,3206296
414,1472,362,576555
494,3900,331,368150
495,3163,379,518365
496,4449,528,689753
497,9890,1142,1438688
490,5495,484,603015
492,5708,429,715418
493,3137,497,836393
167,3963,345,433514
2005,87,10,14473
428,3414,345,507833
160,2370,267,463072
300,2353,208,278012
2009,1277,116,226280
407,827,331,586436
345,4897,566,637591
346,3531,623,917138
347,5943,646,881817
546,3821,430,582031
402,6518,504,712802
342,1229,123,163914
343,383,0,0
281,5377,1947,4330793
280,3373,382,415157
2017,2002,321,438820
282,687,187,333190
285,8152,949,1328235
284,7020,689,910863
409,475,71,702694
2012,1981,252,423679
336,4254,495,598918
440,2555,145,192059
356,1449,171,229484
331,1249,140,186708
523,4776,271,299259
455,1754,213,301844
263,3553,435,795314
366,1349,174,213372
261,1127,115,172809
260,1342,259,400399
267,2246,489,681056
266,808,97,110380
265,3315,472,596966
127,5564,748,1307678
128,5958,631,865888
377,2533,471,630675
442,4792,462,617222
268,4264,829,1207136
478,3098,429,614827
365,814,90,114993
302,1138,115,142187
362,2232,138,197327
316,2577,345,653374
363,4924,1013,1594324
379,5316,335,375212
415,2594,344,544306
416,961,0,0
417,5848,724,1107091
410,3742,519,676801
532,2359,751,1330351
531,3739,464,575587
296,2479,415,702958
297,3686,291,310364
294,5160,570,625170
372,297,109,155165
418,857,178,358805
293,9814,936,1119045
290,3398,473,803317
291,1505,191,240714
319,2826,244,307861
318,6393,464,677947
403,3065,484,669366
195,3877,611,1142903
312,4014,460,679543
311,2475,279,385168
310,2067,319,408153
317,3864,431,594539
364,801,118,165309
315,2965,685,1154276
314,1273,177,294359
393,1818,177,239041
271,1928,203,307629
447,4239,538,980161
116,5982,608,785562
397,496,96,136604
396,1119,269,395416
276,2405,193,276514
394,2992,309,394119
278,570,108,166858
83,1689,305,540229
399,763,0,0
398,1586,648,1292717
