stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,711,388,598562
217,3004,1852,3546645
248,1027,130,218703
366,1210,141,1093746
534,1497,325,551116
2005,71,8,10601
127,7626,848,1226755
218,611,120,199147
354,620,102,155553
342,1553,148,322267
498,3522,547,770471
499,8481,3373,10599947
494,4544,447,1101090
495,3337,414,618134
496,4989,456,587510
497,9941,1305,1810913
490,5993,756,1440646
491,3776,274,297888
492,5122,544,1120412
493,1517,292,448815
224,2071,672,1109188
399,483,80,144588
525,2356,818,1217679
223,3550,307,474012
407,614,216,484461
349,1687,245,364447
137,2177,320,632165
289,227,57,84118
450,2317,219,353301
405,5850,1818,2940689
404,5134,1373,1957391
340,1659,139,396286
402,6969,815,1137161
401,4239,648,1005677
545,4087,365,456282
281,6014,3132,10369680
280,2895,234,318196
2017,1119,151,211126
282,819,410,587031
348,5025,1123,1750586
284,7542,733,979991
409,449,139,471712
408,1251,229,412929
344,570,98,162710
453,4735,471,743123
368,7130,1224,1781875
331,1302,256,418717
301,3646,430,678338
369,2359,319,576079
455,2424,428,543538
263,2956,489,886533
478,3810,605,906807
261,1245,240,436872
260,1225,167,915495
267,2165,519,805958
266,1113,115,274274
265,3294,543,689105
264,2032,206,379646
128,6383,716,1121292
268,3070,686,1103775
423,1581,267,551712
422,2189,415,979785
362,1729,246,355568
363,3575,756,1242841
414,1434,460,829345
415,2664,291,448341
416,813,76,124587
417,5434,946,1496569
410,3988,582,907817
532,3788,1789,4357280
531,3646,467,636651
530,4143,1017,2441568
296,2134,357,547699
297,3802,351,537570
294,4185,686,811270
295,2007,220,327129
375,5333,644,916759
419,401,35,290686
377,2595,632,1416231
538,3311,450,653117
318,2563,168,206573
195,3331,852,1570935
312,4119,731,1188938
311,2371,397,698557
310,1926,293,463657
317,2984,301,434849
316,2338,305,526785
315,2929,715,1516462
314,1743,288,549329
270,1207,74,66339
271,1883,137,267782
391,1564,339,570453
448,3427,302,547335
397,856,169,382375
396,699,151,471306
276,1909,207,535531
394,2856,300,359070
82,1074,266,386559
279,3320,1280,2050657
244,659,86,222168
398,1828,853,1716822
119,149,37,30882
143,1249,206,456111
537,6144,427,486430
174,2728,186,367822
536,3737,271,332876
513,2057,246,436349
524,1054,167,234965
428,3901,433,991091
526,3332,646,1320628
527,3876,410,627622
520,2833,585,1201361
521,9831,1010,1443703
522,2141,317,702382
523,5097,397,453593
421,451,42,61102
367,1895,199,287388
364,495,85,350246
365,978,143,563581
528,3463,243,374015
529,4688,702,1504873
360,1833,200,297146
361,3283,401,574103
308,1661,274,348168
309,2200,704,1097266
449,1856,257,434534
303,2888,577,809197
412,2657,851,1324009
420,573,92,146402
300,3035,280,345776
442,4588,495,675981
302,1446,130,219588
440,2393,227,340783
304,3144,1080,2426763
446,4756,405,502854
445,5007,563,732990
305,4278,532,1136952
380,5340,917,1190884
533,2608,410,751990
382,6974,1018,1141996
383,3486,381,521944
241,718,156,276740
385,1614,153,286078
243,994,103,172520
387,6668,4217,7840490
388,3745,517,777156
389,939,345,1353563
443,343,214,729577
444,6881,1434,1905584
249,1587,176,214035
373,693,146,317109
411,1695,269,752526
306,2170,270,402300
245,528,137,374311
242,766,266,307164
372,382,163,259452
2000,1706,556,1022974
418,748,160,604822
247,2889,611,949063
293,9895,973,1308347
519,10071,1021,1882004
518,4220,425,658369
290,2552,453,1308916
438,3581,389,480881
439,4107,522,733519
511,4418,345,1741052
510,3316,793,1355231
434,4643,587,774425
512,3017,396,607498
432,5336,520,626630
433,3738,343,369862
307,3518,387,649387
516,1441,213,249317
458,5217,1025,1663652
459,7169,1713,2662711
2003,1441,128,153373
339,560,73,106684
386,2375,809,1530693
379,5327,409,803571
335,3982,405,465569
334,4250,324,605312
337,1412,217,385221
336,3808,608,784059
454,1556,220,351257
330,2102,391,578887
456,1594,183,299295
457,5348,2185,6391816
430,2216,612,1008411
258,770,162,355014
259,2191,611,1134226
447,2036,385,587180
252,2808,430,600273
253,2312,339,1248327
250,6442,816,1048256
251,4556,796,1098946
173,3927,858,1758911
257,2606,490,705325
254,2372,231,279311
255,12,2,1198984
517,3185,336,508149
2001,170,20,21438
341,1694,237,334870
472,4361,314,805825
345,3958,344,427709
431,249,33,53906
346,3453,564,681417
403,3759,548,714080
313,980,137,222240
347,61,1,920
116,2320,284,375760
481,1132,451,766452
508,1594,338,523207
509,5476,640,825643
507,3980,369,451505
504,5078,438,534622
505,4483,942,1464758
503,4226,427,614504
500,2888,458,878218
501,3259,719,1130414
469,1714,311,606070
468,2787,411,977708
465,3639,747,1495489
464,1731,173,256316
467,1690,414,1453538
400,700,81,144101
461,4667,381,662894
460,1010,343,642693
463,5309,1061,1470176
